matchId,date,leagueId,league,round,homeId,awayId,homeTeam,awayTeam,homeRank,awayRank,homeFormation,awayFormation,homeRating,awayRating,homeScore,awayScore,result,homePossession,awayPossession,homeXG,awayXG,homeXGOT,awayXGOT,homeShots,awayShots,homeShotsOT,awayShotsOT,homeShotsOff,awayShotsOff,homeInsideBox,awayInsideBox,homeOutsideBox,awayOutsideBox,homeBigChance,awayBigChance,homeBigMiss,awayBigMiss,homeTouchesBox,awayTouchesBox,homePasses,awayPasses,homePassAcc,awayPassAcc,homeCrossAcc,awayCrossAcc,homeLongBallAcc,awayLongBallAcc,homeCorners,awayCorners,homeTackles,awayTackles,homeInterceptions,awayInterceptions,homeBlocks,awayBlocks,homeClearances,awayClearances,homeKeeperSaves,awayKeeperSaves,homeYellow,awayYellow,homeRed,awayRed,homeFouls,awayFouls,homeOffside,awayOffside,homeFifaRank,awayFifaRank,cityMatch,countryMatch,neutral
3854574,2022-11-26T19:00:00.000Z,868714,World Cup Grp. C,2,6706,6710,Argentina,Mexico,3,13,4-3-2-1,5-3-2,7,6.2,2,0,H,58,42,0.32,0.27,0.80,0.30,5,4,2,1,3,2,2,1,3,3,0,0,0,0,8,7,528,370,84,77,15,20,28,36,4,2,14,18,7,13,1,0,16,16,1,0,1,4,0,0,15,19,2,4,3,13,Lusail,Qatar,TRUE
3854588,2022-11-27T10:00:00.000Z,868716,World Cup Grp. E,2,6715,6705,Japan,Costa Rica,24,31,4-1-4-1,5-4-1,6.3,7.1,0,1,A,57,43,0.88,0.11,0.44,0.58,13,4,3,1,3,2,6,1,7,3,0,0,0,0,16,2,582,443,87,80,7,0,42,36,5,0,17,25,4,9,1,6,7,19,0,3,3,3,0,0,22,9,0,2,24,31,Al Rayyan,Qatar,TRUE
3854593,2022-11-27T13:00:00.000Z,868719,World Cup Grp. F,2,8263,6262,Belgium,Morocco,2,22,3-4-2-1,4-3-3,6.3,7.1,0,2,A,67,33,0.96,1.48,0.29,1.67,10,10,3,4,5,6,5,6,5,4,2,1,2,0,10,11,652,328,88,84,14,38,63,52,9,1,15,22,7,9,0,2,5,21,2,3,1,1,0,0,10,14,3,3,2,22,Doha,Qatar,TRUE
3854594,2022-11-27T16:00:00.000Z,868719,World Cup Grp. F,2,10155,5810,Croatia,Canada,12,41,4-3-3,4-4-2,7.4,6.2,4,1,H,48,52,2.33,0.39,0.01,0.00,13,8,10,2,3,3,9,1,4,7,6,1,4,0,31,12,443,473,84,84,24,25,56,54,5,2,25,15,10,6,3,0,19,28,1,6,2,2,0,0,13,5,1,3,12,41,Al Rayyan,Qatar,TRUE
3854587,2022-11-27T19:00:00.000Z,868716,World Cup Grp. E,2,6720,8570,Spain,Germany,7,11,4-3-3,4-2-3-1,6.8,6.9,1,1,D,64,36,0.57,1.22,,,7,11,3,4,2,4,3,8,4,3,1,2,0,1,18,20,634,343,85,79,17,18,69,47,6,5,17,29,8,13,3,2,13,11,3,2,1,3,0,0,13,11,2,5,7,11,Al Khor,Qatar,TRUE
3854600,2022-11-28T10:00:00.000Z,868718,World Cup Grp. G,2,6629,8205,Cameroon,Serbia,43,21,4-3-3,3-4-2-1,6.8,6.9,3,3,D,41,59,2.29,1.88,3.22,2.59,13,15,8,5,2,8,9,10,4,5,3,4,0,2,20,29,340,503,72,81,5,19,42,32,4,3,8,16,19,5,2,2,22,15,2,5,2,2,0,0,8,13,0,4,43,21,Al Wakrah,Qatar,TRUE
3854606,2022-11-28T13:00:00.000Z,868717,World Cup Grp. H,2,7804,6714,South Korea,Ghana,28,61,4-2-3-1,4-2-3-1,6.4,7,2,3,A,63,37,1.80,1.68,1.84,1.69,22,7,7,3,5,4,16,6,6,1,3,2,1,0,39,15,528,320,86,79,37,27,61,31,12,5,15,17,2,6,0,10,19,47,0,4,2,2,0,0,13,9,1,1,28,61,Al Rayyan,Qatar,TRUE
3854599,2022-11-28T16:00:00.000Z,868718,World Cup Grp. G,2,8256,6717,Brazil,Switzerland,1,15,4-3-3,4-2-3-1,7.1,6.4,1,0,H,54,46,1.02,0.30,1.38,0.00,13,6,5,0,3,2,10,4,3,2,2,0,2,0,21,12,550,482,88,84,16,22,55,48,8,3,21,18,10,4,4,5,10,27,0,4,1,1,0,0,10,17,3,1,1,15,Doha,Qatar,TRUE
3854605,2022-11-28T19:00:00.000Z,868717,World Cup Grp. H,2,8361,5796,Portugal,Uruguay,9,14,4-3-3,3-5-2,7.4,6.3,2,0,H,60,40,1.33,1.27,1.60,0.51,15,11,3,3,6,6,4,7,11,4,1,2,0,2,21,14,603,403,83,73,27,24,45,33,6,2,10,12,7,12,1,4,16,10,3,1,3,2,0,0,10,16,3,0,9,14,Lusail,Qatar,TRUE
3854557,2022-11-29T15:00:00.000Z,868712,World Cup Grp. A,3,6708,5902,Netherlands,Qatar,8,50,3-4-1-2,5-3-2,7.2,6.3,2,0,H,63,37,1.61,0.14,2.27,0.41,13,5,4,3,6,2,10,1,3,4,2,0,1,0,24,7,783,452,92,82,17,29,74,51,4,2,16,10,10,12,0,2,10,9,3,2,1,0,0,0,19,9,5,0,8,50,,,
